district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,weather,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Karur,Aravakurichi,Rural,10.2285,77.4761,Domestic Violence,5,Friday,Evening,200,12.94,77.43,0.571,5,10,4.49,Cloudy,0,36-45,0.988,1.07,0.774,41.51,0.858,0.683,0
Vellore,Katpadi,Semi-Urban,9.4192,79.8495,Fraud,9,Tuesday,Afternoon,670,10.42,69.0,0.261,8,8,7.4,Hot,0,36-45,0.998,1.73,0.69,31.22,0.694,0.302,0
Ramanathapuram,Ramanathapuram,Urban,10.1653,78.1722,Cybercrime,6,Monday,Night,313,13.62,71.76,0.414,2,3,5.91,Rainy,0,60+,1.024,2.36,0.718,61.73,0.412,0.451,0
Kanchipuram,Chengalpattu,Rural,12.0319,78.7376,Vandalism,7,Saturday,Evening,703,9.97,82.27,0.751,2,3,5.12,Sunny,0,18-25,1.084,1.47,0.823,63.38,0.881,0.583,0
Tirunelveli,Ambasamudram,Rural,12.9274,78.7475,Property Crime,7,Sunday,Morning,764,10.98,83.07,0.681,7,7,6.41,Sunny,0,18-25,0.969,0.65,0.831,32.39,0.855,0.525,0
Sivaganga,Manamadurai,Rural,8.6865,78.282,Burglary,12,Saturday,Night,280,13.45,83.08,0.412,7,9,6.63,Hot,1,60+,1.066,2.64,0.831,48.73,0.749,0.491,0
Madurai,Madurai South,Urban,12.2664,79.0123,Domestic Violence,12,Friday,Night,950,6.72,92.54,0.764,9,17,6.03,Cloudy,1,18-25,1.014,1.52,0.925,83.32,0.452,0.535,0
Tirunelveli,Palayamkottai,Semi-Urban,11.0622,77.214,Burglary,4,Sunday,Evening,387,14.96,65.18,0.504,8,5,5.39,Sunny,1,18-25,0.965,4.88,0.652,66.04,0.705,0.325,1
Salem,Vazhapadi,Rural,12.6056,80.366,Theft,12,Monday,Evening,460,12.16,70.54,0.22,7,4,4.75,Hot,1,46-60,1.079,1.86,0.705,33.42,0.208,0.911,0
Cuddalore,Panruti,Urban,8.0902,76.0629,Assault,8,Thursday,Afternoon,629,9.76,75.51,0.339,8,11,3.82,Rainy,0,36-45,1.049,3.11,0.755,37.66,0.896,0.854,0
Ramanathapuram,Paramakudi,Urban,11.8678,78.3937,Burglary,1,Sunday,Night,659,11.06,66.75,0.437,5,15,5.04,Cloudy,0,18-25,0.901,0.63,0.667,58.09,0.693,0.444,0
Dharmapuri,Dharmapuri,Rural,12.9984,76.3896,Domestic Violence,10,Tuesday,Evening,689,14.38,79.68,0.321,6,4,7.03,Cloudy,1,60+,0.988,0.65,0.797,62.09,0.66,0.922,0
Krishnagiri,Bargur,Rural,12.2701,78.2629,Property Crime,1,Tuesday,Night,537,8.64,76.43,0.204,6,8,4.77,Rainy,0,46-60,0.955,2.82,0.764,49.68,0.679,0.52,0
Tiruvannamalai,Tiruvannamalai,Semi-Urban,8.6425,78.5177,Cybercrime,12,Sunday,Evening,620,5.09,75.45,0.308,4,14,6.85,Hot,1,60+,1.04,2.73,0.754,41.52,0.331,0.609,1
Tirunelveli,Radhapuram,Rural,9.5857,80.4235,Assault,6,Friday,Night,487,5.44,77.35,0.127,2,8,5.86,Cloudy,0,60+,0.961,1.63,0.774,52.06,0.505,0.325,0
Namakkal,Kumarapalayam,Rural,12.3669,79.7757,Property Crime,3,Tuesday,Morning,746,6.14,76.18,0.388,3,10,2.7,Cloudy,0,26-35,1.035,4.16,0.762,63.08,0.705,0.878,0
Dharmapuri,Palacode,Rural,8.2483,77.7751,Theft,11,Sunday,Evening,603,13.52,71.23,0.742,4,10,6.9,Cloudy,1,46-60,0.959,3.33,0.712,60.67,0.21,0.43,1
Sivaganga,Ilayangudi,Semi-Urban,12.8491,78.1518,Property Crime,8,Saturday,Evening,711,10.92,72.73,0.706,5,6,7.96,Rainy,0,26-35,0.906,4.06,0.727,43.78,0.219,0.573,0
Tiruvannamalai,Arani,Urban,8.6822,78.6528,Theft,4,Friday,Night,759,14.32,84.91,0.428,6,4,7.97,Sunny,1,18-25,1.011,4.02,0.849,56.26,0.778,0.484,0
Sivaganga,Karaikudi,Semi-Urban,9.5241,78.5678,Theft,1,Tuesday,Night,207,6.34,75.16,0.247,7,8,6.5,Hot,0,60+,1.078,4.83,0.752,31.01,0.508,0.618,0
Coimbatore,Pollachi,Urban,11.4655,79.3721,Theft,9,Thursday,Night,946,5.11,89.43,0.678,25,31,3.01,Rainy,0,36-45,0.904,3.22,0.894,86.46,0.671,0.729,1
Sivaganga,Manamadurai,Semi-Urban,11.3403,79.3823,Assault,9,Saturday,Evening,305,5.71,68.97,0.6,5,4,6.89,Sunny,0,36-45,1.031,3.3,0.69,46.48,0.747,0.39,1
Chennai,Chennai North,Urban,12.4874,77.0132,Traffic Violation,5,Wednesday,Afternoon,1169,3.3,86.02,0.441,8,32,2.49,Cloudy,0,26-35,1.006,2.08,0.86,71.65,0.882,0.833,0
Sivaganga,Devakottai,Rural,9.3183,76.822,Theft,6,Monday,Night,217,12.61,81.55,0.75,4,13,1.48,Rainy,0,60+,1.082,3.76,0.815,48.66,0.344,0.857,0
Dindigul,Natham,Rural,10.1997,78.2446,Cybercrime,6,Wednesday,Afternoon,406,7.18,80.69,0.604,3,13,2.2,Rainy,0,18-25,1.07,2.07,0.807,61.27,0.48,0.635,1
Kanchipuram,Kanchipuram,Rural,8.4149,76.5635,Traffic Violation,11,Wednesday,Night,377,12.41,81.51,0.47,7,14,4.74,Sunny,1,26-35,0.925,1.97,0.815,46.71,0.495,0.854,1
Villupuram,Kallakurichi,Rural,10.4481,79.7176,Drug Offense,2,Monday,Morning,408,9.54,73.0,0.19,7,12,3.94,Sunny,0,46-60,1.014,2.15,0.73,35.01,0.744,0.682,1
Erode,Bhavani,Semi-Urban,9.6687,78.9634,Vandalism,10,Sunday,Evening,419,14.49,84.76,0.581,5,11,4.58,Hot,1,26-35,1.079,0.77,0.848,34.12,0.892,0.596,0
Tiruvannamalai,Arani,Semi-Urban,13.0912,77.6492,Fraud,11,Friday,Night,783,9.24,79.17,0.313,2,13,7.19,Sunny,1,46-60,1.072,2.34,0.792,34.12,0.381,0.77,1
Sivaganga,Karaikudi,Semi-Urban,9.9689,80.4786,Theft,8,Saturday,Night,339,6.6,78.22,0.346,5,4,2.15,Rainy,0,60+,1.056,2.9,0.782,63.71,0.202,0.481,0
Villupuram,Villupuram,Rural,10.9914,76.5511,Theft,4,Monday,Night,301,6.21,72.91,0.386,3,15,1.63,Rainy,1,18-25,1.038,0.91,0.729,54.24,0.445,0.438,0
Tiruvannamalai,Arani,Semi-Urban,9.5081,78.628,Property Crime,2,Tuesday,Night,555,12.26,65.92,0.489,2,9,4.76,Cloudy,0,18-25,1.015,4.76,0.659,57.81,0.853,0.849,1
Krishnagiri,Hosur,Rural,12.5717,77.382,Domestic Violence,2,Wednesday,Morning,653,12.43,84.12,0.249,2,11,6.07,Rainy,0,18-25,0.983,4.59,0.841,30.32,0.637,0.51,0
Dharmapuri,Dharmapuri,Rural,8.4646,76.7632,Drug Offense,4,Saturday,Night,741,5.65,69.91,0.629,3,14,7.52,Sunny,1,46-60,1.004,4.23,0.699,45.02,0.406,0.618,1
Vellore,Vellore,Semi-Urban,8.7086,77.6242,Vandalism,6,Tuesday,Night,223,7.18,73.22,0.571,2,8,2.67,Cloudy,0,36-45,0.928,1.38,0.732,62.71,0.876,0.752,0
Cuddalore,Cuddalore,Rural,12.296,77.9636,Drug Offense,8,Wednesday,Afternoon,586,7.58,77.04,0.425,8,8,1.59,Hot,0,18-25,1.051,1.4,0.77,59.28,0.27,0.654,0
Krishnagiri,Hosur,Urban,10.4787,76.6112,Domestic Violence,6,Friday,Afternoon,234,9.93,79.18,0.208,3,10,0.74,Cloudy,0,60+,1.051,1.87,0.792,34.8,0.352,0.914,1
Kanchipuram,Kanchipuram,Semi-Urban,13.1665,78.823,Drug Offense,7,Saturday,Evening,354,12.36,82.77,0.796,3,8,6.11,Rainy,0,36-45,0.938,2.75,0.828,45.83,0.251,0.464,1
