district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Cuddalore,Panruti,Semi-Urban,9.6508,76.2001,Assault,2,Tuesday,Evening,680,8.87,79.51,0.497,8,15,7.74,0,46-60,0.981,1.47,0.795,66.58,0.424,0.608,1
Krishnagiri,Pochampalli,Rural,11.8026,78.2289,Vandalism,4,Friday,Morning,477,5.16,81.94,0.495,3,5,6.4,1,18-25,0.941,3.22,0.819,42.33,0.676,0.782,1
Chennai,Sholinganallur,Urban,12.0888,77.412,Fraud,2,Sunday,Morning,1740,3.61,92.86,0.488,15,39,4.67,0,60+,0.986,4.62,0.929,85.74,0.61,0.425,0
Karur,Kadavur,Rural,13.3351,79.296,Fraud,6,Friday,Evening,461,6.79,84.24,0.221,4,9,7.63,0,26-35,0.927,0.79,0.842,51.47,0.228,0.701,0
Tirunelveli,Nanguneri,Rural,12.0624,76.8224,Burglary,5,Tuesday,Night,784,13.65,83.79,0.8,6,10,2.1,0,46-60,0.928,3.12,0.838,62.92,0.657,0.827,0
Krishnagiri,Pochampalli,Rural,8.9477,76.3402,Burglary,7,Wednesday,Evening,496,11.54,76.85,0.434,5,9,1.09,0,60+,0.943,0.74,0.769,37.56,0.813,0.601,0
Karur,Krishnarayapuram,Urban,10.5071,79.5086,Assault,7,Thursday,Morning,210,12.18,77.05,0.549,2,11,5.86,0,36-45,1.066,0.99,0.771,43.28,0.746,0.344,0
Erode,Erode,Rural,11.0138,77.4333,Theft,9,Thursday,Evening,512,11.99,67.33,0.652,8,9,3.23,0,60+,1.082,2.08,0.673,47.97,0.775,0.502,1
Villupuram,Sankarapuram,Rural,11.4412,76.6329,Theft,7,Thursday,Night,355,11.69,72.42,0.628,7,14,7.81,0,36-45,1.036,2.36,0.724,35.58,0.535,0.351,0
Coimbatore,Sulur,Urban,13.3163,79.772,Cybercrime,9,Saturday,Evening,1104,7.05,87.28,0.311,8,31,1.23,0,18-25,1.027,4.4,0.873,73.68,0.208,0.641,1
Chennai,Chennai South,Urban,9.104,77.9226,Domestic Violence,12,Monday,Afternoon,1122,3.34,93.24,0.342,20,19,1.24,1,18-25,1.098,2.74,0.932,72.61,0.866,0.687,0
Thoothukudi,Thoothukudi,Rural,11.1324,76.8436,Cybercrime,9,Tuesday,Evening,558,7.89,67.34,0.318,8,10,7.16,0,36-45,1.086,3.56,0.673,31.85,0.512,0.459,1
Tirunelveli,Palayamkottai,Semi-Urban,11.6763,77.4418,Fraud,12,Tuesday,Morning,332,14.17,78.47,0.311,3,2,6.08,1,46-60,0.986,3.17,0.785,67.06,0.342,0.568,0
Vellore,Katpadi,Semi-Urban,9.9014,79.3907,Theft,2,Friday,Evening,747,13.83,70.58,0.581,2,8,3.58,0,18-25,1.091,3.15,0.706,31.24,0.898,0.567,1
Virudhunagar,Sattur,Rural,10.7699,78.4851,Drug Offense,5,Wednesday,Morning,211,5.17,71.0,0.792,7,3,4.85,0,36-45,1.068,3.22,0.71,57.68,0.675,0.351,0
Tiruchirappalli,Musiri,Semi-Urban,13.1802,77.4759,Fraud,9,Tuesday,Afternoon,390,14.95,67.88,0.538,4,5,3.17,0,18-25,0.977,2.36,0.679,37.71,0.258,0.796,1
Thanjavur,Kumbakonam,Rural,10.5065,78.6302,Theft,9,Tuesday,Night,458,13.33,74.11,0.737,5,8,0.95,0,26-35,0.95,1.06,0.741,48.79,0.441,0.83,1
Namakkal,Rasipuram,Semi-Urban,13.0978,76.4804,Cybercrime,7,Sunday,Evening,484,6.41,79.12,0.711,5,14,6.89,0,18-25,0.952,2.88,0.791,30.75,0.402,0.518,0
Tiruchirappalli,Thuraiyur,Rural,10.9771,78.3014,Property Crime,1,Sunday,Evening,627,12.89,77.39,0.525,7,8,6.81,0,46-60,1.003,1.11,0.774,37.92,0.327,0.676,1
Dindigul,Palani,Semi-Urban,10.2704,79.0027,Cybercrime,7,Sunday,Evening,433,9.08,66.22,0.456,2,10,3.72,0,36-45,1.031,2.26,0.662,36.28,0.43,0.545,1
Chennai,Sholinganallur,Urban,9.5579,76.7357,Fraud,6,Friday,Night,1029,5.41,88.87,0.499,24,36,2.02,0,18-25,0.945,4.46,0.889,71.32,0.51,0.441,1
Thoothukudi,Srivaikuntam,Semi-Urban,9.8966,78.6121,Traffic Violation,2,Monday,Afternoon,445,5.22,70.31,0.526,2,9,3.98,0,60+,1.021,2.98,0.703,68.0,0.225,0.525,1
Namakkal,Namakkal,Semi-Urban,10.2572,80.1109,Fraud,10,Thursday,Evening,531,8.95,83.23,0.789,8,10,6.4,1,18-25,0.943,4.97,0.832,35.21,0.42,0.401,1
Virudhunagar,Aruppukkottai,Rural,13.0104,76.0531,Theft,6,Wednesday,Night,435,13.93,77.91,0.67,8,2,3.47,0,60+,1.067,3.27,0.779,38.05,0.58,0.5,1
Dharmapuri,Palacode,Semi-Urban,10.7889,79.7739,Burglary,6,Monday,Evening,216,8.69,82.65,0.204,8,15,4.49,0,46-60,1.02,3.22,0.826,40.7,0.611,0.481,0
Dindigul,Natham,Urban,10.844,78.4595,Burglary,11,Tuesday,Night,318,8.84,82.73,0.404,6,14,3.02,1,36-45,1.008,4.74,0.827,65.24,0.395,0.727,1
Kanchipuram,Chengalpattu,Semi-Urban,10.7703,78.6843,Vandalism,7,Monday,Evening,797,7.93,68.94,0.797,7,11,7.84,0,46-60,1.025,1.08,0.689,45.81,0.897,0.806,0
Namakkal,Rasipuram,Rural,12.3243,77.2508,Property Crime,5,Thursday,Evening,626,13.21,82.76,0.353,8,3,2.43,0,26-35,0.961,4.62,0.828,40.36,0.597,0.462,0
Tirunelveli,Palayamkottai,Rural,12.6553,77.5406,Theft,2,Sunday,Evening,621,14.86,80.72,0.242,2,3,0.82,0,46-60,0.91,3.95,0.807,38.66,0.534,0.534,1
Tiruvannamalai,Cheyyar,Rural,9.1737,76.5768,Drug Offense,1,Thursday,Night,481,10.16,75.11,0.125,2,11,5.08,0,18-25,1.019,0.54,0.751,42.83,0.293,0.843,0
Cuddalore,Kattumannarkoil,Rural,9.6427,78.7829,Drug Offense,3,Wednesday,Night,203,6.71,75.08,0.229,4,5,7.69,0,26-35,0.944,3.29,0.751,48.07,0.684,0.869,0
Villupuram,Villupuram,Rural,10.8002,80.4686,Theft,9,Thursday,Afternoon,385,10.97,74.78,0.29,6,6,7.61,0,18-25,1.071,3.47,0.748,53.76,0.684,0.685,1
Virudhunagar,Rajapalayam,Rural,9.9599,77.1797,Cybercrime,5,Thursday,Morning,437,11.47,75.98,0.561,6,13,5.84,0,36-45,1.015,3.76,0.76,31.13,0.442,0.51,0
Thanjavur,Papanasam,Rural,10.7736,76.7504,Burglary,8,Monday,Evening,347,13.22,74.4,0.155,5,9,4.9,0,60+,1.063,0.91,0.744,65.07,0.329,0.314,1
Tiruchirappalli,Tiruchirappalli,Semi-Urban,9.3566,77.3284,Theft,8,Monday,Morning,659,10.47,74.65,0.33,7,2,7.07,0,18-25,1.095,0.95,0.746,39.14,0.667,0.487,1
Dharmapuri,Karimangalam,Rural,8.0269,79.8347,Drug Offense,12,Friday,Morning,527,8.37,66.49,0.508,4,10,1.66,1,18-25,0.907,2.31,0.665,31.4,0.699,0.89,1
Thoothukudi,Thoothukudi,Urban,10.8818,78.6452,Cybercrime,3,Friday,Morning,643,11.88,73.82,0.611,8,6,1.31,0,18-25,0.97,0.74,0.738,54.97,0.218,0.485,1
Coimbatore,Coimbatore South,Urban,8.7682,77.8464,Cybercrime,11,Monday,Afternoon,1733,4.65,89.9,0.282,9,34,7.38,1,36-45,0.973,4.35,0.899,87.58,0.812,0.757,0
